uf,vendors,pago_R$,share_external,share_core
RS,255,11019578.73,0.6086999582194911,0.15296580458163056
SC,37,2025795.0,0.11190095030622413,0.028120617828050528
PR,48,1738744.08,0.09604481938760903,0.024135985020431645
DF,11,1363330.92,0.07530773130048145,0.018924771644951502
SP,26,949115.01,0.05242725525973822,0.013174926619463642
PA,1,625800.0,0.03456796699648042,0.008686901999853893
MG,14,160901.76,0.008887898257199767,0.0022335216055033736
ES,6,129816.44,0.0071708060299146385,0.0018020177249119735
AM,1,61347.44,0.003388712497984281,0.0008515806954648718
RJ,4,13831.68,0.0007640349276859672,0.00019200135610952237
GO,2,6611.5,0.00036520631798854313,9.177605077026848e-05
PB,1,4540.0,0.00025078071294985793,6.302098926068501e-05
MS,1,2985.0,0.00016488555686240661,4.143560637514201e-05
MA,1,566.0,3.126473205498229e-05,7.856801744834297e-06
PE,1,502.0,2.7729497334984293e-05,6.968400134110985e-06
